web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,fun-factor-0,fun-factor-1,fun-factor-2,fun-factor-3,fun-factor-4
"1610738351-6709","https://www.wblivesurf.com/reports/page/245/","03.25.2018","Swell Size: Thigh/Waist","7:26 AM / BY: surfreports","Water Surface: Choppy/Semi-Clean Faces","ratingCell","null","null","null","null"
"1610738211-6214","https://www.wblivesurf.com/reports/page/276/","11.19.2017","Swell Size: Thigh/Waist High","12:39 PM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell","null","null","null"
"1610737905-4683","https://www.wblivesurf.com/reports/page/372/","06.19.2015","Swell Size: Knee High","6:12 AM / BY: sageisland","Water Surface: Clean/Light Texture","ratingCell","null","null","null","null"
"1610738191-6112","https://www.wblivesurf.com/reports/page/282/","10.27.2017","Swell Size: Knee/Thigh High","3:40 PM / BY: surfreports","Water Surface: Semi-Clean","ratingCell half","null","null","null","null"
"1610737242-877","https://www.wblivesurf.com/reports/page/609/","02.08.2008","Swell Size: Knee/Occ. Thigh?","7:17 AM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610737184-862","https://www.wblivesurf.com/reports/page/610/","02.05.2008","Swell Size: Knee/Thigh High?/Shorebreak","7:15 AM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610739311-10258","https://www.wblivesurf.com/reports/page/23/","10.16.2020","Swell Size: Shin-Knee High","1:08 PM / BY: surfreports","Water Surface: Fairly Clean","ratingCell half","null","null","null","null"
"1610737296-1207","https://www.wblivesurf.com/reports/page/589/","04.27.2008","Swell Size: Knee/Occ. Thigh","11:06 AM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610739265-10057","https://www.wblivesurf.com/reports/page/36/","08.22.2020","Swell Size: Thigh-Waist High","12:20 PM / BY: surfreports","Water Surface: Clean","ratingCell half","null","null","null","null"
"1610737829-4224","https://www.wblivesurf.com/reports/page/400/","04.19.2014","Swell Size: Stomach/Chest/Occ. Bigger","7:02 AM / BY: sageisland","Water Surface: Choppy/Clean Faces","ratingCell","ratingCell","ratingCell half","null","null"
"1610738164-5954","https://www.wblivesurf.com/reports/page/292/","03.09.2017","Swell Size: Waist","4:11 PM / BY: sageisland","Water Surface: light bump/chop","ratingCell","ratingCell half","null","null","null"
"1610738867-8528","https://www.wblivesurf.com/reports/page/131/","07.06.2019","Swell Size: Knee High","9:10 AM / BY: surfreports","Water Surface: Clean","ratingCell","null","null","null","null"
"1610738328-6615","https://www.wblivesurf.com/reports/page/251/","02.28.2018","Swell Size: Shin High","12:31 PM / BY: surfreports","Water Surface: Light Bump","null","null","null","null","null"
"1610738955-8869","https://www.wblivesurf.com/reports/page/110/","09.29.2019","Swell Size: Knee High","12:38 PM / BY: surfreports","Water Surface: Clean","ratingCell half","null","null","null","null"
"1610739159-9646","https://www.wblivesurf.com/reports/page/61/","05.16.2020","Swell Size: Waist/Stomach High","6:21 AM / BY: surfreports","Water Surface: Glassy","ratingCell","ratingCell","ratingCell half","null","null"
"1610737559-2668","https://www.wblivesurf.com/reports/page/498/","11.23.2009","Swell Size: Waist/Chest/Maybe Bigger Peaks","1:09 PM / BY: sageisland","Water Surface: Choppy/ Clean Faces","ratingCell","null","null","null","null"
"1610737127-540","https://www.wblivesurf.com/reports/page/631/","11.05.2007","Swell Size: Knee-Waist","9:50 AM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610737146-648","https://www.wblivesurf.com/reports/page/624/","12.01.2007","Swell Size: Knee/Thigh High","7:05 AM / BY: sageisland","Water Surface: Glassy/Light Texture","ratingCell half","null","null","null","null"
"1610738030-5270","https://www.wblivesurf.com/reports/page/335/","03.31.2016","Swell Size: Thigh/Waist/Occ. Stomach","7:14 AM / BY: sageisland","Water Surface: Light Bump/Semi-Clean","ratingCell","ratingCell","ratingCell half","null","null"
"1610737176-824","https://www.wblivesurf.com/reports/page/613/","01.20.2008","Swell Size: Ankle/Shin","12:49 PM / BY: sageisland","Water Surface: Semi-Glass","ratingCell half","null","null","null","null"
"1610738497-7238","https://www.wblivesurf.com/reports/page/212/","08.04.2018","Swell Size: Knee/Thigh/Occ. Hip","6:25 AM / BY: surfreports","Water Surface: Clean","ratingCell","null","null","null","null"
"1610737690-3434","https://www.wblivesurf.com/reports/page/450/","10.12.2012","Swell Size: Thigh/Waist/Occ. Bigger","4:13 PM / BY: sageisland","Water Surface: Glassy","ratingCell","null","null","null","null"
"1610738312-6560","https://www.wblivesurf.com/reports/page/254/","02.18.2018","Swell Size: Knee/Thigh/Rare Waist High??","10:58 AM / BY: surfreports","Water Surface: Light Bump","ratingCell half","null","null","null","null"
"1610737897-4633","https://www.wblivesurf.com/reports/page/375/","05.26.2015","Swell Size: Knee-Thigh High","9:53 AM / BY: sageisland","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610737919-4764","https://www.wblivesurf.com/reports/page/367/","08.02.2015","Swell Size: Waist/Stomach/Occ, Bigger?","9:42 AM / BY: sageisland","Water Surface: Glassy","ratingCell","ratingCell","ratingCell half","null","null"
