,web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,total_rating
75,1610738335-6644,https://www.wblivesurf.com/reports/page/249/,03.09.2018,Swell Size: Knee High,10:05 AM / BY: surfreports,Water Surface: Glassy,0.0
76,1610737756-3820,https://www.wblivesurf.com/reports/page/426/,06.07.2013,Swell Size: Head High/Bigger,6:10 AM / BY: sageisland,Water Surface: Choppy/Sloppy,1.5
77,1610737950-4843,https://www.wblivesurf.com/reports/page/362/,09.19.2015,Swell Size: Chest/Head/Plus,7:00 AM / BY: sageisland,Water Surface: Choppy/Semi-Clean Faces,3.0
78,1610738016-5196,https://www.wblivesurf.com/reports/page/340/,02.03.2016,Swell Size: Knee/Thigh/Waist High set maybe,7:45 AM / BY: sageisland,Water Surface: Light wind,1.0
79,1610738646-7728,https://www.wblivesurf.com/reports/page/181/,12.17.2018,Swell Size: Flat,3:51 PM / BY: surfreports,Water Surface: Glassy,0.0
80,1610738559-7434,https://www.wblivesurf.com/reports/page/200/,09.29.2018,Swell Size: Knee High Shore Break,7:30 AM / BY: surfreports,Water Surface: Light Texture,0.5
81,1610738642-7709,https://www.wblivesurf.com/reports/page/182/,12.14.2018,Swell Size: Thigh/Waist,11:58 AM / BY: surfreports,Water Surface: Choppy,1.0
82,1610739130-9522,https://www.wblivesurf.com/reports/page/69/,03.14.2020,Swell Size: Thigh-Waist High,12:53 PM / BY: surfreports,Water Surface: Choppy,0.5
83,1610737163-748,https://www.wblivesurf.com/reports/page/618/,12.27.2007,Swell Size: Knee High,7:13 AM / BY: sageisland,Water Surface: Glassy,0.5
84,1610738804-8291,https://www.wblivesurf.com/reports/page/146/,05.06.2019,Swell Size: Knee/Thigh High,12:25 PM / BY: surfreports,Water Surface: Light Bump,1.0
85,1610738268-6403,https://www.wblivesurf.com/reports/page/264/,01.08.2018,Swell Size: Knee High,3:53 PM / BY: surfreports,Water Surface: Light Bump,0.5
86,1610737963-4922,https://www.wblivesurf.com/reports/page/357/,10.18.2015,Swell Size: Waist/Stomach/Rare Bigger?,10:42 AM / BY: sageisland,Water Surface: Choppy/Semi-Clean Faces,2.0
